,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-138.74604264666243,25.294987750495654,-184.44807815208884,-93.39477273819631,,
1,0,-83.58066245967095,63.49932354933746,-184.44807815208884,45.783271171689954,4.531059741973877,0.1544926017522812
2,1,-24.86541411221098,99.12848895903973,-184.44807815208884,153.39700994963323,0.2101462185382843,0.0997716560959816
3,2,16.82956568464177,112.79188167960811,-184.44807815208884,181.89902949251427,0.12288083136081696,0.09546548873186111
4,3,40.241125824169934,112.09734326014438,-184.44807815208884,188.59037445571988,0.08152298629283905,0.07754042744636536
5,4,75.53032397874988,129.82030601527444,-184.44807815208884,307.4676722159113,0.07583530992269516,0.049976155161857605
6,5,99.72419198563597,134.59762557631197,-184.44807815208884,307.4676722159113,0.050435200333595276,0.04525374248623848
7,6,121.71053378685255,139.00381676868486,-184.44807815208884,341.56901016244274,0.06311803311109543,0.055324751883745193
8,7,142.36454329571828,144.30758096777365,-184.44807815208884,389.3634219993952,0.04181482642889023,0.03731665760278702
9,8,154.69750083306513,142.39619339955453,-184.44807815208884,389.3634219993952,0.04133754223585129,0.042740367352962494
10,9,169.01737341153316,143.33662586509985,-184.44807815208884,389.3634219993952,0.036390140652656555,0.04209204763174057
11,10,181.62476092326298,144.22925118429595,-184.44807815208884,435.6722554684596,0.04216896742582321,0.03534625470638275
